District,prior_years_not_future,status_19_20,grades_19_20,status_20_21,grades_20_21
Tantasqua,,Yes,7 & 10,Yes,7 & 9
Triton,,Yes,,Yes,
Up Island,,Yes,,Yes,
Wachusett,*,No,,No,
Quaboag,,Yes,,Yes,
Whitman Hanson,,Yes,,Yes,10-Sep
Assabet Valley,,No,,No,
Blackstone Valley,,No,,No,
Blue Hills,,No,,No,
Bristol Plymouth,,No,,No,
Cape Cod,,No,,No,
Essex North Shore,,No,,No,
Franklin County,,No,,No,
Greater Fall River,,No,,No,
Greater Lawrence,,No,,No,
Greater New Bedford,,No,,No,
Greater Lowell,,Yes,,Yes,
South Middlesex,,No,,No,
Minuteman,,No,,No,
Montachusett,,Yes,12-Oct,Yes,12-Oct
Northern Berkshire,,No,,No,
Nashoba Valley,,Yes,,Yes,
Northeast Metropolitan,,No,,No,
Old Colony,,No,,No,
Pathfinder,,Yes,,Yes,
Shawsheen Valley,,No,,No,
Southeastern,,No,,No,
South Shore,,No,,No,
Southern Worcester,,No,,No,
Tri County,,No,,No,
Upper Cape Cod,,No,,No,
Whittier,*,No,,No,
Bristol County,,No,,No,
Norfolk County,,No,,No,
