SMSA FIPS,SMSA name,"Black-white D for 1960 cities, Taeuber","D: Non-Hispanic White/Non-Hispanic Black, 1970","D: Non-Hispanic White/Non-Hispanic Black, 1980","D: Non-Hispanic White/Non-Hispanic Black, 1990","D: Non-Hispanic White/Non-Hispanic Black, 2000","D: Non-Hispanic White/Non-Hispanic Black, 2010","D: Non-Hispanic White/Hispanic, 1970","D: Non-Hispanic White/Hispanic, 1980","D: Non-Hispanic White/Hispanic, 1990","D: Non-Hispanic White/Hispanic, 2000","D: Non-Hispanic White/Hispanic, 2010","D: Non-Hispanic White/Asian, 1970","D: Non-Hispanic White/Asian, 1980","D: Non-Hispanic White/Asian, 1990","D: Non-Hispanic White/Asian, 2000","D: Non-Hispanic White/Asian, 2010",,,,,,,,,,,,,,,,,,
smsa,msa_name,,dissim_WB_70,dissim_WB_80,dissim_WB_90,dissim_WB_00,dissim_WB_10,dissim_WH_70,dissim_WH_80,dissim_WH_90,dissim_WH_00,dissim_WH_10,dissim_WA_70,dissim_WA_80,dissim_WA_90,dissim_WA_00,dissim_WA_10,,,,,,,,,,,,,,,,,,
6040,"Paterson-Clifton-Passaic, NJ SMSA",0.759,0.897,0.887,0.869,0.836,0.807,0.826,0.776,0.760,0.731,0.707,0.851,0.721,0.633,0.576,0.550,,,,,,,,,,,,,,,,,,
6160,"Philadelphia, PA-NJ SMSA",0.871,0.909,0.870,0.848,0.800,0.772,0.904,0.752,0.732,0.700,0.656,0.826,0.724,0.651,0.638,0.596,,,,,,,,,,,,,,,,,,
6200,"Phoenix, AZ SMSA",0.855,0.954,0.741,0.647,0.608,0.592,0.731,0.592,0.562,0.594,0.572,0.759,0.640,0.583,0.544,0.527,,,,,,,,,,,,,,,,,,
6280,"Pittsburgh, PA SMSA",0.846,0.915,0.825,0.806,0.780,0.745,0.937,0.721,0.721,0.692,0.624,0.862,0.778,0.758,0.741,0.708,,,,,,,,,,,,,,,,,,
6440,"Portland, OR-WA SMSA",0.767,0.957,0.797,0.749,0.681,0.627,0.915,0.531,0.525,0.541,0.492,0.729,0.582,0.529,0.508,0.494,,,,,,,,,,,,,,,,,,
6480,"Providence-Warwick-Pawtucket, RI-MA SMSA",0.77,0.935,0.815,0.751,0.724,0.673,0.951,0.686,0.716,0.737,0.685,0.871,0.793,0.746,0.705,0.649,,,,,,,,,,,,,,,,,,
6780,"Riverside-San Bernardino-Ontario, CA SMSA",0.855,0.910,0.670,0.587,0.594,0.576,0.678,0.477,0.465,0.501,0.493,0.690,0.563,0.533,0.569,0.544,,,,,,,,,,,,,,,,,,
6840,"Rochester, NY SMSA",0.824,0.892,0.760,0.742,0.750,0.732,0.889,0.698,0.680,0.657,0.607,0.825,0.703,0.648,0.646,0.636,,,,,,,,,,,,,,,,,,
6920,"Sacramento, CA SMSA",0.639,0.884,0.649,0.624,0.637,0.628,0.675,0.433,0.439,0.471,0.458,0.671,0.554,0.554,0.566,0.563,,,,,,,,,,,,,,,,,,
7040,"St. Louis, MO-IL SMSA",0.905,0.931,0.875,0.837,0.805,0.785,0.891,0.593,0.579,0.567,0.552,0.797,0.697,0.661,0.651,0.630,,,,,,,,,,,,,,,,,,
7160,"Salt Lake City-Ogden, UT SMSA",0.689,0.960,0.775,0.728,0.701,0.656,0.799,0.472,0.462,0.520,0.502,0.703,0.581,0.555,0.568,0.543,,,,,,,,,,,,,,,,,,
7240,"San Antonio, TX SMSA",0.901,0.872,0.708,0.649,0.615,0.573,0.745,0.634,0.589,0.557,0.511,0.719,0.594,0.533,0.539,0.521,,,,,,,,,,,,,,,,,,
7320,"San Diego, CA SMSA",0.813,0.868,0.697,0.652,0.640,0.621,0.592,0.488,0.520,0.568,0.562,0.598,0.539,0.542,0.557,0.548,,,,,,,,,,,,,,,,,,
7360,"San Francisco-Oakland, CA SMSA",0.693,0.875,0.764,0.724,0.718,0.690,0.591,0.468,0.502,0.564,0.559,0.609,0.548,0.529,0.534,0.528,,,,,,,,,,,,,,,,,,
7400,"San Jose, CA SMSA",0.604,0.869,0.604,0.567,0.599,0.598,0.599,0.514,0.543,0.592,0.567,0.466,0.432,0.469,0.499,0.502,,,,,,,,,,,,,,,,,,
7600,"Seattle-Everett, WA SMSA",0.797,0.934,0.747,0.669,0.637,0.628,0.862,0.477,0.438,0.473,0.475,0.706,0.551,0.495,0.476,0.474,,,,,,,,,,,,,,,,,,
8280,"Tampa-St. Petersburg, FL SMSA",0.945,0.966,0.877,0.807,0.748,0.671,0.858,0.615,0.571,0.545,0.507,0.853,0.748,0.660,0.609,0.561,,,,,,,,,,,,,,,,,,
8520,"Tucson, AZ SMSA",0.811,0.925,0.677,0.600,0.574,0.561,0.737,0.585,0.556,0.545,0.521,0.774,0.629,0.556,0.522,0.504,,,,,,,,,,,,,,,,,,
8840,"Washington, DC-MD-VA SMSA",0.797,0.888,0.757,0.715,0.699,0.697,0.691,0.452,0.507,0.561,0.556,0.582,0.477,0.428,0.450,0.444,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.85,0.92,0.80,0.75,0.73,0.70,0.81,0.60,0.59,0.60,0.57,0.77,0.66,0.61,0.60,0.58,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,16.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.878842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
